batch:10  lambda:100
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
90,0.0645402,0.0739476,2.77258,0.06454,0.0736246,2.77258
91,0.0645401,0.0736061,2.77258,0.0645397,0.0740823,2.77258
92,0.0645399,0.0735411,2.77258,0.06454,0.073299,2.77258
93,0.06454,0.0731558,2.77258,0.0645399,0.0730324,2.77258
94,0.0645398,0.0733598,2.77258,0.0645398,0.0733648,2.77258
95,0.06454,0.0730498,2.77258,0.0645397,0.0726906,2.77258
96,0.06454,0.0724255,2.77258,0.0645398,0.0724453,2.77258
97,0.0645397,0.0728086,2.77258,0.0645396,0.072375,2.77258
98,0.0645398,0.0722568,2.77258,0.0645397,0.0724887,2.77258
99,0.0645397,0.0722267,2.77258,0.0645396,0.0721628,2.77258
100,0.0645397,0.0723192,2.77258,0.0645396,0.0722955,2.77258
101,0.0645395,0.0719503,2.77258,0.0645395,0.0717518,2.77258
102,0.0645396,0.0716094,2.77258,0.0645394,0.0713447,2.77258
103,0.0645394,0.071407,2.77258,0.0645394,0.0714274,2.77258
104,0.0645394,0.0713387,2.77258,0.0645395,0.071194,2.77258
105,0.0645396,0.0709041,2.77258,0.0645393,0.0707065,2.77258
106,0.0645394,0.0708223,2.77258,0.0645393,0.0710834,2.77258
107,0.0645393,0.0710163,2.77258,0.0645393,0.070525,2.77259
108,0.0645394,0.0704535,2.77258,0.064539,0.0708189,2.77259
109,0.0645392,0.0705319,2.77258,0.0645391,0.0703525,2.77259
110,0.0645392,0.0700843,2.77258,0.0645391,0.0699132,2.77259
111,0.0645392,0.069921,2.77258,0.0645393,0.0695053,2.77259
112,0.0645393,0.0693796,2.77258,0.0645391,0.0693538,2.77259
113,0.0645391,0.0698949,2.77259,0.064539,0.0696082,2.77259
114,0.064539,0.0693574,2.77259,0.064539,0.0695245,2.77259
115,0.0645391,0.0689587,2.77258,0.0645389,0.0694561,2.77259
116,0.064539,0.0688397,2.77259,0.0645389,0.0690722,2.77259
117,0.0645394,0.0686121,2.77258,0.0645388,0.0689085,2.77259
118,0.0645388,0.068813,2.77259,0.0645388,0.0685217,2.77259
119,0.0645388,0.0680084,2.77259,0.0645389,0.0685962,2.77259
120,0.0645388,0.0678436,2.77259,0.0645388,0.0687143,2.77259
121,0.0645388,0.0678045,2.77259,0.0645387,0.0683099,2.77259
122,0.0645387,0.0675211,2.77259,0.0645388,0.067546,2.77259
123,0.0645387,0.0675021,2.77259,0.0645387,0.0677582,2.77259
124,0.0645388,0.0670059,2.77259,0.0645387,0.0677207,2.77259
125,0.0645387,0.0671786,2.77259,0.0645387,0.0670371,2.77259
126,0.0645387,0.0666245,2.77259,0.0645387,0.06696,2.77259
127,0.0645387,0.0669316,2.77259,0.0645386,0.0668774,2.77259
128,0.0645386,0.0663014,2.77259,0.0645386,0.066452,2.77259
129,0.0645386,0.0663529,2.77259,0.0645386,0.0661947,2.77259
130,0.0645386,0.0660563,2.77259,0.0645386,0.0660156,2.77259
131,0.311972,0.0655039,2.37419,1.1466,0.0684453,0.901823
132,0.989199,0.0712825,0.971536,1.14547,0.0762344,0.908699
133,1.05259,0.0730971,1.03442,1.06298,0.0765742,1.04543
134,1.18758,0.0771561,0.902216,0.960178,0.0795094,1.16709
135,1.08123,0.0806256,0.844957,0.743021,0.0800748,0.458481
136,0.929181,0.07912,0.734881,0.33365,0.0756058,0.412704
137,0.84989,0.0777286,0.693033,1.12995,0.0777234,0.813735
138,0.859185,0.0784415,0.52327,1.08591,0.0805203,0.663481
139,1.07034,0.0806061,0.620442,1.0153,0.0779044,0.951854
140,1.09591,0.0806187,0.635123,1.05528,0.0785433,0.932199
141,1.04286,0.0777123,0.662675,1.3649,0.0814023,0.702981
142,1.08743,0.0778447,0.704879,1.34551,0.0784202,0.784037
143,0.985621,0.0779404,0.581749,1.10099,0.0798291,0.496593
144,1.20262,0.0769404,0.777261,1.27498,0.0780977,0.760088
145,0.99048,0.0784625,0.609593,0.95138,0.0784889,0.563346
146,0.541345,0.0773636,0.338943,0.325199,0.0765441,0.212603
147,0.843351,0.0771804,0.511968,0.823169,0.0763122,0.554284
148,1.2385,0.0774981,0.72444,1.37636,0.0805684,0.697401
149,1.15498,0.0763369,0.690754,0.641144,0.077351,0.362092
150,0.825433,0.0763401,0.465706,0.959756,0.0774004,0.364618
151,1.21875,0.0761713,0.638259,1.23531,0.0769175,0.693187
152,1.36009,0.076529,0.819291,1.39354,0.0785602,0.592485
153,1.09502,0.0727988,1.01958,1.30578,0.0796158,0.551858
154,1.20581,0.0756645,0.784731,1.35135,0.0770244,0.68563
155,1.16714,0.0765706,0.797393,1.33307,0.0764557,0.746678
156,1.34928,0.0764452,0.715672,1.29246,0.0769014,0.772966
157,1.24932,0.075564,0.758398,1.36555,0.0764893,1.02786
158,1.1354,0.0700998,0.970349,1.22367,0.0758192,0.641201
159,1.37417,0.0767056,0.772337,1.17528,0.076773,0.684829
160,1.18273,0.0747417,0.784616,1.33798,0.0756519,0.661798
161,1.40542,0.0752872,0.795436,1.20896,0.0739185,0.812142
162,1.3138,0.0756897,0.705012,1.37361,0.0768865,0.603618
163,1.32209,0.0750642,0.703234,1.39399,0.0769447,0.614417
164,1.34133,0.0733741,0.790757,1.19318,0.0739029,0.780593
165,1.02027,0.0746893,0.677921,1.24042,0.0756287,0.594668
166,1.09644,0.0744825,0.618893,1.23902,0.0747124,0.785171
167,1.37735,0.0743974,0.704882,1.41291,0.0749236,0.672077
168,1.34086,0.0739363,0.712724,1.22725,0.072766,0.790882
169,1.35022,0.0734875,0.729034,1.36576,0.0747025,0.606814
170,1.27319,0.0734213,0.736595,1.30906,0.0732761,0.72265
171,1.36277,0.074098,0.661731,1.22844,0.0736872,0.800401
172,1.22054,0.0714037,0.891615,1.17915,0.0740213,0.584229
173,1.31243,0.0727665,0.732321,1.38734,0.0738291,0.621657
174,1.03227,0.0711591,0.638765,1.23523,0.0736141,0.647171
175,1.3062,0.0717643,0.696332,1.04809,0.0677334,0.940889
176,1.32339,0.0711527,0.742711,1.39562,0.0718301,0.760615
177,1.31601,0.0710452,0.755525,1.12551,0.073369,0.558829
178,1.35355,0.0711768,0.786692,1.41887,0.0716209,0.767903
179,1.17708,0.0680081,0.91061,1.57032,0.0702537,1.01932
180,1.11778,0.0684812,0.872195,1.26435,0.0692448,1.07213
181,1.2182,0.070959,0.689004,1.18506,0.0698959,0.558137
182,0.951225,0.0689311,0.638428,1.43757,0.0721195,0.563599
183,1.17027,0.0687456,0.689747,1.3155,0.0699629,0.723938
184,1.11319,0.070624,0.561414,1.21792,0.0672217,0.99802
185,1.21896,0.068359,0.742289,1.25101,0.0626784,0.959619
186,1.27111,0.0672512,0.703208,1.39396,0.0705215,0.726703
187,1.31253,0.0678843,0.750239,1.27737,0.0681969,0.884919
188,1.36472,0.0677103,0.807611,1.48218,0.0686307,0.890855
189,1.28822,0.0682801,0.716525,1.33256,0.0692332,0.741471
190,1.31718,0.0680376,0.737669,1.44048,0.0693476,0.885667
191,1.12615,0.0660038,0.755278,1.43827,0.0703127,0.652921
192,1.31342,0.0668744,0.751858,1.36575,0.0682332,0.694694
193,1.29915,0.0673614,0.712863,1.26178,0.0693517,0.587274
194,1.25337,0.0672711,0.680898,1.33662,0.0681127,0.679287
195,1.35934,0.068313,0.690949,1.32327,0.0648081,0.833094
196,1.31079,0.0671089,0.7015,1.17772,0.0683594,0.661625
197,1.08482,0.0668997,0.777663,1.02642,0.0679232,0.586517
198,1.24846,0.0689254,0.580872,1.18592,0.0663414,0.719889
199,1.23058,0.0668407,0.721142,1.3441,0.0681683,0.732561
200,0.935099,0.0682552,0.425512,1.20239,0.0694706,0.557945
201,1.28468,0.0671089,0.702266,0.753906,0.066993,0.410641
202,1.17951,0.0657867,0.701717,1.00292,0.0666141,0.560938
203,1.14873,0.0661995,0.689368,1.27233,0.065031,0.897184
204,1.33248,0.0660286,0.824457,0.553237,0.0647201,0.392836
205,1.00825,0.0670987,0.502258,1.37782,0.0639369,1.14881
206,1.02549,0.063953,0.65271,1.10569,0.0646232,0.585926
207,1.25995,0.0654784,0.729538,1.27322,0.066586,0.543153
208,1.14198,0.0656979,0.573083,1.179,0.0647356,0.624935
209,1.19167,0.0646194,0.750248,0.925379,0.0641899,0.456972
210,0.751191,0.0630608,0.518816,0.904299,0.0647934,0.507248
211,1.11627,0.0635288,0.619007,0.48511,0.062625,0.296756
212,1.06472,0.0624008,0.631849,0.779278,0.0635175,0.487204
213,1.13719,0.0623835,0.752183,1.25088,0.0603139,0.818059
214,0.986978,0.0646061,0.534354,1.40714,0.0626222,0.650753
215,1.06124,0.0648365,0.490984,0.65775,0.0627325,0.307108
216,1.2368,0.0616168,0.788527,1.18393,0.0655765,0.543921
217,1.25006,0.0625685,0.678084,1.19531,0.0636002,0.613364
218,1.247,0.0638811,0.627067,1.33335,0.063781,0.738894
219,1.12601,0.0629901,0.668209,1.46245,0.0630644,0.848046
220,1.18984,0.0624207,0.732404,1.11463,0.061349,0.853343
221,1.30865,0.0625895,0.642949,1.30367,0.0632428,0.722396
222,1.33575,0.0619987,0.803083,0.837252,0.0628396,0.475138
223,1.20128,0.0615765,0.65678,1.30722,0.0630813,0.680561
224,1.25415,0.0623461,0.621536,1.25826,0.0630372,0.671997
225,1.02417,0.0622055,0.54118,1.2708,0.0629888,0.499444
226,1.07551,0.0599766,0.759702,1.0541,0.0628835,0.43068
227,1.22074,0.0626731,0.473605,0.343157,0.0595565,0.265457
228,0.733215,0.0610177,0.33025,1.40536,0.0627401,0.517354
229,1.20843,0.0603063,0.640895,1.07069,0.061958,0.384313
230,1.26581,0.0607661,0.704736,1.36168,0.0629017,0.80301
231,1.26534,0.0610261,0.743303,1.38989,0.0621021,0.687883
232,1.38066,0.0607445,0.669153,1.25368,0.0573722,0.778518
233,1.4009,0.0610437,0.678248,1.41482,0.0603066,0.789452
234,1.37814,0.0608561,0.64611,1.25234,0.0595589,0.714662
235,1.40967,0.0612767,0.622845,1.16042,0.0598344,0.717767
236,1.3987,0.0610378,0.610291,1.14503,0.0600905,0.529572
237,1.32992,0.0600399,0.651799,1.28136,0.0590718,0.705765
238,1.16872,0.0603042,0.490896,0.964749,0.058445,0.504309
239,1.06024,0.0595247,0.512832,1.09726,0.0594603,0.610045
240,0.976486,0.0602122,0.410384,1.59315,0.0600058,1.1116
241,1.24663,0.0566007,0.768756,1.40761,0.0591728,0.847619
242,1.32314,0.0586353,0.79219,0.858131,0.0589609,0.407658
243,1.33508,0.0592901,0.638509,1.3461,0.0596037,0.724735
244,1.406,0.0583357,0.742782,1.3818,0.0581555,0.820652
245,1.34859,0.0576068,0.789064,1.41337,0.0573394,0.776146
246,1.41296,0.0580866,0.756855,1.28663,0.0563578,0.789518
247,1.39841,0.0582796,0.764869,1.38478,0.0573086,0.757682
248,1.37644,0.0575411,0.778316,1.39471,0.0575207,0.75829
249,1.38999,0.0577285,0.691244,1.32178,0.0561532,0.813967
250,1.4349,0.058019,0.69001,1.33201,0.0558314,0.827624
251,1.38849,0.0578987,0.704255,1.34678,0.0565478,0.737963
